ID,Nama Beasiswa,Jenjang,Jenis Pendanaan,Jenis Tes Bahasa,Skor,IPK,Pendidikan Terakhir,Prodi,Fakultas,Link Daftar,Benua,Negara,Biaya Hidup
BSW001,INPEX Scholarship,S2,Fully Funded ,0,0,3.00,S1,Teknik Kimia,Sains dan Teknik,https://www.inpex-s.com/pdf/APPLICATION_FORM_FOR_SCHOLARSHIPS_2024.pdf,Asia,Jepang,"$1.103,84"
BSW001,INPEX Scholarship,S2,Fully Funded ,0,0,3.00,S1,Teknik Elektro,Sains dan Teknik,https://www.inpex-s.com/pdf/APPLICATION_FORM_FOR_SCHOLARSHIPS_2024.pdf,Asia,Jepang,"$1.103,84"
BSW001,INPEX Scholarship,S2,Fully Funded ,0,0,3.00,S1,Geologi,Sains dan Teknik,https://www.inpex-s.com/pdf/APPLICATION_FORM_FOR_SCHOLARSHIPS_2024.pdf,Asia,Jepang,"$1.103,84"
BSW001,INPEX Scholarship,S2,Fully Funded ,0,0,3.00,S1,Geofisika,Sains dan Teknik,https://www.inpex-s.com/pdf/APPLICATION_FORM_FOR_SCHOLARSHIPS_2024.pdf,Asia,Jepang,"$1.103,84"
BSW001,INPEX Scholarship,S2,Fully Funded ,0,0,3.00,S1,Teknik Mesin,Sains dan Teknik,https://www.inpex-s.com/pdf/APPLICATION_FORM_FOR_SCHOLARSHIPS_2024.pdf,Asia,Jepang,"$1.103,84"
BSW001,INPEX Scholarship,S2,Fully Funded ,0,0,3.00,S1,Teknik Logam,Sains dan Teknik,https://www.inpex-s.com/pdf/APPLICATION_FORM_FOR_SCHOLARSHIPS_2024.pdf,Asia,Jepang,"$1.103,84"
BSW001,INPEX Scholarship,S2,Fully Funded ,0,0,3.00,S1,Kimia Pertanian,Pertanian,https://www.inpex-s.com/pdf/APPLICATION_FORM_FOR_SCHOLARSHIPS_2024.pdf,Asia,Jepang,"$1.103,84"
BSW001,INPEX Scholarship,S2,Fully Funded ,0,0,3.00,S1,Patologi Botani,Pertanian,https://www.inpex-s.com/pdf/APPLICATION_FORM_FOR_SCHOLARSHIPS_2024.pdf,Asia,Jepang,"$1.103,84"
BSW001,INPEX Scholarship,S2,Fully Funded ,0,0,3.00,S1,Patologi Genetika,Pertanian,https://www.inpex-s.com/pdf/APPLICATION_FORM_FOR_SCHOLARSHIPS_2024.pdf,Asia,Jepang,"$1.103,84"
BSW001,INPEX Scholarship,S2,Fully Funded ,0,0,3.00,S1,Kehutanan,Pertanian,https://www.inpex-s.com/pdf/APPLICATION_FORM_FOR_SCHOLARSHIPS_2024.pdf,Asia,Jepang,"$1.103,84"
BSW001,INPEX Scholarship,S2,Fully Funded ,0,0,3.00,S1,Farmasi,Farmasi,https://www.inpex-s.com/pdf/APPLICATION_FORM_FOR_SCHOLARSHIPS_2024.pdf,Asia,Jepang,"$1.103,84"
BSW001,INPEX Scholarship,S2,Fully Funded ,0,0,3.00,S1,Manajemen Kesehatan,Farmasi,https://www.inpex-s.com/pdf/APPLICATION_FORM_FOR_SCHOLARSHIPS_2024.pdf,Asia,Jepang,"$1.103,84"
BSW001,INPEX Scholarship,S2,Fully Funded ,0,0,3.00,S1,Imunologi,Farmasi,https://www.inpex-s.com/pdf/APPLICATION_FORM_FOR_SCHOLARSHIPS_2024.pdf,Asia,Jepang,"$1.103,84"
BSW002,MEXT Scholarship,S1,Fully Funded ,IELTS,"5,5","3,2",SMA,Matematika,Sains dan Teknik,https://daftar.beasiswamext.com/,Asia,Jepang,"$986,557"
BSW002,MEXT Scholarship,S1,Fully Funded ,IELTS,"5,5","3,2",SMA,Kimia,Sains dan Teknik,https://daftar.beasiswamext.com/,Asia,Jepang,"$986,557"
BSW002,MEXT Scholarship,S1,Fully Funded ,IELTS,"5,5","3,2",SMA,Ilmu Komputer dan Informasi,Sains dan Teknik,https://daftar.beasiswamext.com/,Asia,Jepang,"$986,557"
BSW002,MEXT Scholarship,S1,Fully Funded ,IELTS,"5,5","3,2",SMA,Biofisika dan Biokimia,Sains dan Teknik,https://daftar.beasiswamext.com/,Asia,Jepang,"$986,557"
BSW002,MEXT Scholarship,S1,Fully Funded ,IELTS,"5,5","3,2",SMA,Geologi,Sains dan Teknik,https://daftar.beasiswamext.com/,Asia,Jepang,"$986,557"
BSW002,MEXT Scholarship,S1,Fully Funded ,IELTS,"5,5","3,2",SMA,Teknik Sipil,Sains dan Teknik,https://daftar.beasiswamext.com/,Asia,Jepang,"$986,557"
BSW002,MEXT Scholarship,S1,Fully Funded ,IELTS,"5,5","3,2",SMA,Aeronautika,Sains dan Teknik,https://daftar.beasiswamext.com/,Asia,Jepang,"$986,557"
BSW002,MEXT Scholarship,S1,Fully Funded ,IELTS,"5,5","3,2",SMA,Teknik Elektro,Sains dan Teknik,https://daftar.beasiswamext.com/,Asia,Jepang,"$986,557"
BSW002,MEXT Scholarship,S1,Fully Funded ,IELTS,"5,5","3,2",SMA,Teknik Komunikasi dan Informasi,Sains dan Teknik,https://daftar.beasiswamext.com/,Asia,Jepang,"$986,557"
BSW002,MEXT Scholarship,S1,Fully Funded ,IELTS,"5,5","3,2",SMA,Metalurgi,Sains dan Teknik,https://daftar.beasiswamext.com/,Asia,Jepang,"$986,557"
BSW002,MEXT Scholarship,S1,Fully Funded ,IELTS,"5,5","3,2",SMA,Teknik Industri,Sains dan Teknik,https://daftar.beasiswamext.com/,Asia,Jepang,"$986,557"
